"Society","Latitude","Agriculture"
"Merina",-19,"6"
"Meru",0,"3"
"Mesakin",11,"3"
"Mescalero",33,"2"
"Messiria Humr",11,"3"
"Miami",40,"3"
"Miao",26,"6"
"Micmac",47,"1"
"Midobi",16,"2"
"Mikir",26,"0"
"Mimika",-4,"4"
"Min Chinese",24,"6"
"Minangkabau",-1,"6"
"Minchia",26,"6"
"Minianka",12,"3"
"Miriam",-10,"4"
"Miskito",13,"3"
"Miwok",38,"1"
"Mixe",17,"3"
"Mixtec",18,"0"
"Miyakans",24,"0"
"Mnong Gar",12,"3"
"Moache",37,"1"
"Moanunts",39,"1"
"Moapa",36,"2"
"Moba",11,"3"
"Modoc",42,"1"
"Mogh",20,"3"
"Moghol",34,"6"
"Mohave",35,"5"
"Moldovans",47,"5"
"Molima",-10,"0"
"Monachi",37,"1"
"Mondari",6,"3"
"Mongo",1,"0"
"Monguor",39,"5"
"Montagnais",48,"1"
"Moro",11,"5"
"Moroccans",33,"6"
"Moru",5,"3"
"Mossi Ouagadou",12,"3"
"Mota",-14,"4"
"Motilon",9,"3"
"Motu",-9,"3"
"Mpongwe",-2,"3"
"Muju",-6,"4"
"Mumuye",9,"5"
"Mundang",10,"3"
"Mundurucu",-6,"3"
"Muong",21,"6"
"Muria Gond",20,"3"
"Murinbata",-14,"1"
"Murngin",-12,"1"
"Musgu",11,"5"
"Mutair",28,"1"
"Mzab",33,"6"
"Nabesna",63,"1"
"Nail",35,"5"
"Nama",-26,"1"
"Nambicura",-12,"3"
"Namshi",9,"3"
"Nandi",0,"5"
"Nankanse",10,"3"
"Naron",-20,"1"
"Naskapi",58,"1"
"Natchez",32,"3"
"Nauruans",-1,"4"
"Navaho",37,"6"
"Ndaka Babali",1,"3"
"Ndau",-20,"0"
"Ndebele",-20,"3"
"Ndembu",-11,"3"
"Ndob",6,"3"
"Ndoko",2,"3"
"Ndoro",7,"3"
"Neapolitians",41,"5"
"Negidal",52,"1"
"Negri Sembilan",21,"6"
"Netsilik",69,"1"
"New England",42,"5"
"Nez Perce",45,"1"
"Ngala",1,"3"
"Nganasan",72,"1"
"Ngarawapum",-6,"4"
"Ngbandi",4,"3"
"Ngere",7,"3"
"Ngizim",12,"0"
"Ngombe",2,"3"
"Ngonde",-10,"5"
"Ngoni",-12,"3"
"Ngulu",-6,"3"
"Ngumba",3,"3"
"Ngumbi",-15,"0"
"Nicobarese",9,"4"
"Nipigon",50,"1"
"Nisenan",39,"1"
"Niueans",-19,"4"
"Nkundo",0,"3"
"Nomlaki",39,"1"
