"Name","glottocode","iso_code","latitude","longitude","ObjectVerbOrder"
"Begak-Ida'an","idaa1241","dbj",5.25,118.833333333,NA
"Beja","beja1238","bej",18,36,"OV"
"Belhare","belh1239","byw",26.9666666667,87.3,"OV"
"Bemba","bemb1258","bmy",-10,28.25,NA
"Bengali","beng1280","ben",24,90,"OV"
"Beothuk","beot1247","bue",48,-57,NA
"Berta","bert1248","wti",10.3333333333,34.6666666667,"VO"
"Bété","dalo1238","bev",6.25,-6.25,NA
"Bezhta","bezh1248","kap",42.0833333333,46.1666666667,NA
"Biafada","biaf1240","bif",11.4166666667,-15.1666666667,NA
"Berber (Figuig)",NA,NA,32.5,-1.5,"VO"
"Bafia","bafi1243","ksf",5,11.1666666667,NA
"Benga","beng1282","bng",1.16666666667,9.41666666667,NA
"Banggai","bang1368","bgz",-1.41666666667,123.166666667,NA
"Bagri","bagr1243","bgq",29.5833333333,74.3333333333,NA
"Buglere","bugl1243","sab",8.5,-81.25,NA
"Bangime","bang1363","dba",14.9166666667,-3.83333333333,"OV"
"Bugun","bugu1246",NA,27.5,92.5833333333,"OV"
"Bongo","bong1285","bot",7.5,28.5,"VO"
"Bagiro","furu1242","fuu",4.33333333333,20.5833333333,"VO"
"Baga Sitemu","baga1272","bsp",10.5,-14.5,"VO"
"Bagvalal","bagv1239","kva",42.5833333333,46.1666666667,NA
"Banggi","bong1289","bdg",7.25,117.166666667,"VO"
"Bhili","bhil1251","bhb",22,73,NA
"Bahinemo","bahi1254","bjh",-4.58333333333,142.833333333,NA
"Bhojpuri","bhoj1244","bho",26,84,"OV"
"Bhumij","mund1320","unr",21.3333333333,86.5,"OV"
"Bira","bera1259","bip",1,28.75,"VO"
"Bidiya","bidi1241","bid",11.9166666667,18.75,"VO"
"Binga","yulu1243","yul",8,25,"VO"
"Biri","biri1256","bzr",-20.5,146.5,"VO"
"Biak","biak1248","bhw",-1,136,"VO"
"Bilua","bilu1245","blb",-7.75,156.666666667,"VO"
"Bima","bima1247","bhp",-8.5,118.5,NA
"Binandere","bina1277","bhg",-8.25,148,"OV"
"Nai","naii1241","bio",-3.71666666667,141.266666667,"OV"
"Bilaan","boli1256","bps",6,125.333333333,NA
"Birom","bero1242","bom",9.66666666667,8.83333333333,"VO"
"Bisa","biss1248","bib",11.5,-0.5,NA
"Biatah","biat1246","bth",1.25,110,NA
"Bisu","bisu1246","bzi",19.75,100,"OV"
"Sama (Southern)","sout2918","ssb",4.5,118.5,NA
"Baka (in Sudan)","baka1274","bdh",4.83333333333,29.25,"VO"
"Betta Kurumba","bett1235","xub",11.5,76.75,"OV"
"Binukid","binu1244","bkd",8.25,124.833333333,NA
"Bakairí","baka1277","bkq",-14,-55,NA
"Bikol","cent2087","bcl",13.3333333333,123.5,"VO"
"Bakundu","orok1266","bdu",4.83333333333,9.33333333333,NA
"Batak (Karo)","bata1293","btx",3.25,98.25,"VO"
"Brokskat","brok1247","bkk",35.3333333333,76.5,"OV"
"Bakueri","mokp1239","bri",4.25,9.25,"VO"
"Blackfoot","siks1238","bla",50,-112.666666667,"VO"
"Baluchi","east2304","bgp",28,62,NA
"Baule","baou1238","bci",7,-5,"VO"
"Balangao","bala1310","blw",17.1666666667,121.166666667,"VO"
"Baale","kaci1244","koe",6.5,34.5,NA
"Balantak","bala1315","blz",-0.833333333333,123.25,NA
"Bilin","bili1260","byn",15.75,38.5,"OV"
"Bole","nucl1695","bol",11.3333333333,11.25,NA
"Belorussian","bela1254","bel",54,28,"No dominant order"
"Balti","balt1258","bft",35,76,"OV"
"Bena-Lulua","luba1249","lua",-6,21,"VO"
"Biloxi","bilo1248","bll",30.5,-88.6666666667,"OV"
"Balyku","nija1241","nad",-22,120,NA
"Balanta","bala1300","ble",12.25,-15.3333333333,"VO"
"Berber (Middle Atlas)","cent2194","tzm",33,-5,"VO"
"Bimoba","bimo1239","bim",10.5,0,"VO"
"Bamun","bamu1253","bax",5.5,10.9166666667,NA
"Burum","buru1306","bmu",-6.5,147.333333333,NA
"Berber (Mzab)","tumz1238","mzb",32.5,3.5,NA
"Banawá","jama1261","jaa",-7,-65,NA
