glottocode,name,macroarea,latitude,longitude,Language_family,precipitation,tones
mesc1238,"Mescalero-Chiricahua Apache","North America",33.1291,-105.566,Athapaskan-Eyak-Tlingit,26.39861111,4
nava1243,Navajo,"North America",36.2106,-110.082,Athapaskan-Eyak-Tlingit,14.67383333,2
tolo1259,Tolowa,"North America",41.9192,-124.1,Athapaskan-Eyak-Tlingit,124.81341665,0
abur1243,Abure,Africa,5.21534,-3.64123,Atlantic-Congo,130.7555,2
adam1253,"Adamawa Fulfulde",Africa,8.140326,13.077338,Atlantic-Congo,107.3405,0
adan1247,Adangme,Africa,5.9437,0.13243,Atlantic-Congo,86.0695,4
alla1248,Alladian,Africa,5.22371,-4.42647,Atlantic-Congo,130.7481667,2
anyi1245,Anyin,Africa,6.31781,-3.30532,Atlantic-Congo,102.0378333,5
ashe1269,Ashe,Africa,9.36574,7.39443,Atlantic-Congo,8.353,3
atti1239,"Attié",Africa,5.9977,-3.8209,Atlantic-Congo,111.6221667,8
avik1243,Avikam,Africa,5.15838,-5.2529,Atlantic-Congo,125.0951667,3
bafi1243,Bafia,Africa,4.72603,11.0982,Atlantic-Congo,154.4213333,5
bafu1246,Bafut,Africa,6.14153,10.1194,Atlantic-Congo,179.131,10
baga1273,"Baga Koga",Africa,10.1286,-13.947,Atlantic-Congo,219.5583333,0
baka1272,"Baka (Cameroon)",Africa,2.16013,13.7804,Atlantic-Congo,140.5785,6
bako1249,Bakoko,Africa,3.56518,9.99905,Atlantic-Congo,152.0291667,0
bamu1253,Bamun,Africa,5.49017,10.8477,Atlantic-Congo,153.6045,0
baou1238,"Baoulé",Africa,5.42509,-4.76565,Atlantic-Congo,103.3258333,4
bass1258,Bassari,Africa,12.4529,-13.3495,Atlantic-Congo,132.0483333,3
bata1285,Batanga,Africa,2.08708,9.75107,Atlantic-Congo,194.0631667,3
bena1262,"Bena (Tanzania)",Africa,-9.26671,35.0364,Atlantic-Congo,114.4528333,2
bero1242,Berom,Africa,9.67037,8.81221,Atlantic-Congo,93.93233333,0
bidy1244,Bidyogo,Africa,11.1097,-16.1497,Atlantic-Congo,158.4635,0
bila1255,Bila,Africa,1.16839,28.7626,Atlantic-Congo,126.276,5
bini1246,Bini,Africa,6.40701,5.70426,Atlantic-Congo,161.2108333,2
boun1243,"Bouna Kulango",Africa,8.46011,-2.74627,Atlantic-Congo,104.0803333,2
budu1250,Budu,Africa,2.00501,27.951,Atlantic-Congo,132.6138333,3
buku1249,Bukusu,Africa,0.68043,34.7719,Atlantic-Congo,84.8985,0
buli1254,"Buli (Ghana)",Africa,10.5763,-1.26748,Atlantic-Congo,84.30366667,10
came1252,"Cameroon Mambila",Africa,6.43829,11.4195,Atlantic-Congo,133.0485,4
