InventoryID	Source	LanguageCode	LanguageName	Trump	LanguageFamilyRoot	LanguageFamilyGenus	Country	Area	Population	Latitude	Longitude	Phonemes	Consonants	Tones	Vowels	TreeName
'Mungaka_[mung1266][mhk]'	946	PH	mhk	Mungaka	1	ncon	Bantoid	Cameroon	Africa	50,100	05:35	10:20	33	21	3	9	'Mungaka_[mung1266][mhk]'
'Kwasio_[kwas1243][nmg]'	947	PH	nmg	Mvumbo	1	ncon	Bantoid	Cameroon	Africa	9,000	03:05	10:15	54	46	0	8	'Kwasio_[kwas1243][nmg]'
'Motlav_[motl1237][mlv]'	948	PH	mlv	Mwotlap	1	anes	Oceanic	Vanuatu	Pacific	2,200	#VALUE!	167:35:00	22	15	0	7	'Motlav_[motl1237][mlv]'
'Namia_[nami1256][nnm]'	949	PH	nnm	Namia	1	sepr	Yellow River	Papua New Guinea	Pacific	6,000	#VALUE!	141:45:00	15	9	0	6	'Namia_[nami1256][nnm]'
'Ndemli_[ndem1249][nml]'	950	PH	nml	Ndemli	1	ncon	Bantoid	Cameroon	Africa	5,950	04:40	10:10	53	30	5	18	'Ndemli_[ndem1249][nml]'
'Mescalero-Chiricahua_Apache_[mesc1238][apm]'	951	PH	apm	Chiricahua Apache	1	nadn	Athapaskan	United States	America	1,800	33:15:00	#VALUE!	51	31	4	16	'Mescalero-Chiricahua_Apache_[mesc1238][apm]'
'Quechan_[quec1382][yum]'	952	PH	yum	Yuma	1	hoka	Yuman	United States	America	150	33:00:00	#VALUE!	38	28	0	10	'Quechan_[quec1382][yum]'
'Nankina_[nank1250][nnk]'	953	PH	nnk	Nankina	1	trng	Finisterre-Huon	Papua New Guinea	Pacific	2,500	#VALUE!	146:30:00	20	14	0	6	'Nankina_[nank1250][nnk]'
'Nandi_[nand1266][niq]'	954	PH	niq	Nandi	1	nsah	Nilotic	Kenya	Africa	No_estimate_available	NULL	NULL	23	13	0	10	'Nandi_[nand1266][niq]'
'Kimaama_[kima1246][kig]'	955	PH	kig	Khmu	1	trng	Kolopom	Indonesia	Asia	3,000	-8:0	138:30:00	44	20	4	20	'Kimaama_[kima1246][kig]'
'Naki_[naki1238][mff]'	956	PH	mff	Naki	1	ncon	Bantoid	Cameroon	Africa	3,000	06:45	10:15	44	36	0	8	'Naki_[naki1238][mff]'
'Michoacán_Nahuatl_[mich1245][ncl]'	957	PH	ncl	Michoacan Nahual	1	utaz	Aztecan	Mexico	America	3,000	18:20	#VALUE!	25	20	0	5	'Michoacán_Nahuatl_[mich1245][ncl]'
'Naga_Pidgin_[naga1394][nag]'	958	PH	nag	Nagamese	1	aspc	Creoles and Pidgins	India	Asia	30,000	25:40:00	94:00:00	47	30	0	17	'Naga_Pidgin_[naga1394][nag]'
'Ngoshie_[ngos1238][nsh]'	959	PH	nsh	Ngishe	1	ncon	Bantoid	Cameroon	Africa	9,200	06:05	09:50	34	26	2	6	'Ngoshie_[ngos1238][nsh]'
'Ngalakan_[ngal1293][nig]'	960	PH	nig	Ngalakan	1	aust	Ngalakan	Australia	Pacific	Extinct	#VALUE!	134:50:00	26	17	0	9	'Ngalakan_[ngal1293][nig]'
'Nangikurrunggurr_[nang1259][nam]'	961	PH	nam	Nganikurungkurr	1	aust	Southern Daly	Australia	Pacific	220	#VALUE!	131:30:00	28	20	0	8	'Nangikurrunggurr_[nang1259][nam]'
'Isebe_[iseb1246][igo]'	962	PH	igo	Ngomba	1	trng	Madang	Papua New Guinea	Pacific	910	#VALUE!	145:40:00	23	9	0	14	'Isebe_[iseb1246][igo]'
'Ngombale_[ngom1271][nla]'	963	PH	nla	Ngombale	1	ncon	Bantoid	Cameroon	Africa	45,000	05:45	10:10	59	37	3	19	'Ngombale_[ngom1271][nla]'
'Nootka_[noot1239][noo]'	964	PH	noo	Nootka	1	waka	Southern Wakashan	Canada	America	200	49:25:00	-126:0	47	37	0	10	'Nootka_[noot1239][noo]'
'Northern_Khmer_[nort2684][kxm]'	965	PH	kxm	Northern Khmer	1	ausa	Khmer	Thailand	Asia	1,400,000	14:35	103:15:00	43	24	0	19	'Northern_Khmer_[nort2684][kxm]'
'Northern_Paiute_[nort2954][pao]'	966	PH	pao	Northern Paiute	1	utaz	Numic	United States	America	1,630	41:00:00	-118:0	24	14	0	10	'Northern_Paiute_[nort2954][pao]'
'Nubi_[nubi1253][kcn]'	967	PH	kcn	Nubi	1	afpc	Creoles and Pidgins	Uganda	Africa	26,100	00:40	32:05:00	35	30	0	5	'Nubi_[nubi1253][kcn]'
'Nuer_[nuer1246][nus]'	968	PH	nus	Nuer	2	nsah	Nilotic	Sudan	Africa	740,000	08:40	32:00:00	48	20	0	28	'Nuer_[nuer1246][nus]'
'Elip_[elip1238][ekm]'	969	PH	ekm	Nulibie	1	ncon	Bantoid	Cameroon	Africa	6,400	04:30	11:10	30	19	4	7	'Elip_[elip1238][ekm]'
'Nyamwezi_[nyam1276][nym]'	970	PH	nym	Kinyamwezi	1	ncon	Bantoid	Tanzania	Africa	980,000	-5:0	33:00:00	53	36	3	14	'Nyamwezi_[nyam1276][nym]'
'Nyeu_[nyeu1238][nyl]'	971	PH	nyl	Nyeu	1	ausa	Khmer	Thailand	Asia	200	15:00	104:15:00	40	20	0	20	'Nyeu_[nyeu1238][nyl]'
'Obolo_[obol1243][ann]'	972	PH	ann	Obolo	1	ncon	Cross River	Nigeria	Africa	200,000	04:40	07:45	37	22	3	12	'Obolo_[obol1243][ann]'
'Mian_[mian1256][mpt]'	973	PH	mpt	Mianmin	1	trng	Ok	Papua New Guinea	Pacific	1,400	#VALUE!	141:30:00	25	13	4	8	'Mian_[mian1256][mpt]'
'Faiwol_[faiw1243][fai]'	974	PH	fai	Faiwol	1	trng	Ok	Papua New Guinea	Pacific	4,500	#VALUE!	141:40:00	20	12	0	8	'Faiwol_[faiw1243][fai]'
'Oku_{Cameroon}_[okuu1243][oku]'	975	PH	oku	Oku	1	ncon	Bantoid	Cameroon	Africa	40,000	06:15	10:30	29	18	4	7	'Oku_{Cameroon}_[okuu1243][oku]'
'Ossetian_[osse1243][oss]'	976	PH	oss	Ossetian	1	ieur	Iranian	Georgia	Asia	100,000	43:00:00	44:10:00	39	30	0	9	'Ossetian_[osse1243][oss]'
'Palauan_[pala1344][pau]'	977	PH	pau	Palauan	1	anes	Palauan	Palau	Pacific	14,800	07:10	134:30:00	22	10	0	12	'Palauan_[pala1344][pau]'
'Orokaiva_[orok1269][okv]'	978	PH	okv	Orokaiva	1	trng	Binanderean	Papua New Guinea	Pacific	35,000	NULL	NULL	17	12	0	5	'Orokaiva_[orok1269][okv]'
'Yil_[yill1241][yll]'	979	PH	yll	Yil	1	torr	Wapei-Palei	Papua New Guinea	Pacific	2,470	#VALUE!	142:10:00	23	12	0	11	'Yil_[yill1241][yll]'
'Ningil_[ning1273][niz]'	980	PH	niz	Ningil	1	torr	Wapei-Palei	Papua New Guinea	Pacific	950	#VALUE!	142:15:00	21	14	0	7	'Ningil_[ning1273][niz]'
