ID	mtDNA_Lang	population	group	megagroup	HG_red
NAM193	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM213	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM224	Damara	Damara	Damara	HereroHimbaDamara	L1c
NAM227	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM245	!OeGan	Damara	Damara	HereroHimbaDamara	L3d
NAM246	/Gaiodaman	Damara	Damara	HereroHimbaDamara	L3d
NAM254	Damara	Damara	Damara	HereroHimbaDamara	L0d2
NAM259	aodaman	Damara	Damara	HereroHimbaDamara	L3d
NAM260	Namidama	Damara	Damara	HereroHimbaDamara	L3d
NAM261	Dauredaman	Damara	Damara	HereroHimbaDamara	L3d
NAM262	Namidama	Damara	Damara	HereroHimbaDamara	L1c
NAM263	Namidama	Damara	Damara	HereroHimbaDamara	L3d
NAM265	aodaman	Damara	Damara	HereroHimbaDamara	L3d
NAM267	Namidama	Damara	Damara	HereroHimbaDamara	L1c
NAM268	Dauredaman	Damara	Damara	HereroHimbaDamara	L3d
NAM274	Namidama	Damara	Damara	HereroHimbaDamara	L3e
NAM276	Namidama	Damara	Damara	HereroHimbaDamara	L3e
NAM277	Namidama	Damara	Damara	HereroHimbaDamara	L3d
NAM279	Namidama	Damara	Damara	HereroHimbaDamara	L3d
NAM283	Namidama	Damara	Damara	HereroHimbaDamara	L3d
NAM310	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM313	/Gobanin	Damara	Damara	HereroHimbaDamara	L0d1
NAM315	/Gobanin	Damara	Damara	HereroHimbaDamara	L3d
NAM332	Damara	Damara	Damara	HereroHimbaDamara	L0d1
NAM394	Namidama	Damara	Damara	HereroHimbaDamara	L3d
NAM395	Damara	Damara	Damara	HereroHimbaDamara	L0d1
NAM396	Damara	Damara	Damara	HereroHimbaDamara	L3e
NAM398	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM399	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM410	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM435	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM441	Damara	Damara	Damara	HereroHimbaDamara	L0d1
NAM447	Damara	Damara	Damara	HereroHimbaDamara	L1c
NAM452	Damara	Damara	Damara	HereroHimbaDamara	L3d
NAM096	Hai||om	Hai||om	Hai|_Nama	NKF	L0d1
NAM097	Hai||om	Hai||om	Hai|_Nama	NKF	L0d2
NAM100	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0d1
NAM108	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0k
NAM111	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0d2
NAM112	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0k
NAM113	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0d2
NAM114	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0k
NAM125	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM128	Hai||om	Hai||om	Hai|_Nama	NKF	L0k
NAM143	Hai||om	Hai||om	Hai|_Nama	NKF	L0d1
NAM144	Hai||om	Hai||om	Hai|_Nama	NKF	L0d2
NAM145	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L3d
NAM147	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM149	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM150	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0d2
NAM152	Hai||om	Hai||om	Hai|_Nama	NKF	L0d2
NAM203	Hai||omWest	Hai||om	Hai|_Nama	NKF	L0d1
NAM205	Hai||omWest	Hai||om	Hai|_Nama	NKF	L0d2
NAM207	Hai||omWest	Hai||om	Hai|_Nama	NKF	L0d1
NAM208	Hai||omWest	Hai||om	Hai|_Nama	NKF	L0d1
NAM209	Hai||omWest	Hai||om	Hai|_Nama	NKF	L0d1
NAM210	Hai||omWest	Hai||om	Hai|_Nama	NKF	L0d2
NAM211	Hai||omWest	Hai||om	Hai|_Nama	NKF	L0d2
NAM216	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM217	Hai||omWest	Hai||om	Hai|_Nama	NKF	L1b
NAM218	Hai||omWest	Hai||om	Hai|_Nama	NKF	L4
NAM222	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d2
NAM223	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM225	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM226	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM229	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM231	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L3d
NAM232	Hai||omWest	Hai||om	Hai|_Nama	NKF	L3e
NAM234	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d2
NAM235	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM359	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0k
NAM360	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM365	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0d1
NAM368	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0d2
NAM369	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L3d
NAM370	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0d1
NAM371	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0d2
NAM373	Hai||omNorth	Hai||om	Hai|_Nama	NKF	L0k
NAM384	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d3
NAM388	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L1b
NAM389	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d2
NAM390	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0k
NAM391	Hai||om	Hai||om	Hai|_Nama	NKF	L3e
NAM392	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L0d1
NAM393	Hai||omCentral	Hai||om	Hai|_Nama	NKF	L1c
NAM299	/Khobesin	Nama	Hai|_Nama	KhoeNama	L0d1
NAM302	!Kharahoen	Nama	Hai|_Nama	KhoeNama	L0d2
NAM304	//O-Gain	Nama	Hai|_Nama	KhoeNama	L0d1
NAM305	/Khobesin	Nama	Hai|_Nama	KhoeNama	L0d2
NAM306	Nama	Nama	Hai|_Nama	KhoeNama	L3h
NAM308	Nama	Nama	Hai|_Nama	KhoeNama	L0d1
NAM316	/Khobesin	Nama	Hai|_Nama	KhoeNama	L0d2
NAM317	Kai-//khaun	Nama	Hai|_Nama	KhoeNama	L0d1
NAM318	Nama	Nama	Hai|_Nama	KhoeNama	L0d2
NAM319	Nama	Nama	Hai|_Nama	KhoeNama	L0d3
NAM321	Nama	Nama	Hai|_Nama	KhoeNama	L0d1
NAM325	Nama	Nama	Hai|_Nama	KhoeNama	L0d2
NAM326	Nama	Nama	Hai|_Nama	KhoeNama	L0d2
NAM412	Nama	Nama	Hai|_Nama	KhoeNama	L0d2
NAM415	Nama	Nama	Hai|_Nama	KhoeNama	L0d2
NAM423	Nama	Nama	Hai|_Nama	KhoeNama	L0d1
NAM424	Nama	Nama	Hai|_Nama	KhoeNama	L3d
NAM427	Nama	Nama	Hai|_Nama	KhoeNama	L0a
NAM428	Nama	Nama	Hai|_Nama	KhoeNama	L0a
NAM429	Nama	Nama	Hai|_Nama	KhoeNama	L0d2
NAM430	Nama	Nama	Hai|_Nama	KhoeNama	L0d1
NAM432	Nama	Nama	Hai|_Nama	KhoeNama	L0d2
NAM442	Topnaar	Nama	Hai|_Nama	KhoeNama	L0d1
NAM444	Topnaar	Nama	Hai|_Nama	KhoeNama	L0k
NAM445	Topnaar	Nama	Hai|_Nama	KhoeNama	L0d1
NAM448	Topnaar	Nama	Hai|_Nama	KhoeNama	L0d1
NAM449	Topnaar	Nama	Hai|_Nama	KhoeNama	L3e
NAM459	Topnaar	Nama	Hai|_Nama	KhoeNama	L0d1
NAM464	Topnaar	Nama	Hai|_Nama	KhoeNama	L0d3
BOT6_154	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0k
BOT6_155	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0a
BOT6_156	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L1b
BOT6_158	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0k
BOT6_159	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L3d
BOT6_160	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L3d
BOT6_162	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L2a
BOT6_177	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_179	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_180	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_181	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_182	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_183	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_184	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0k
BOT6_185	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_189	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_190	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L0k
NAM380	||Anikhoe	||Ani/Buga	Khwe	KhoeRiver	L3d
NAM165	Khwe	||Xo	Khwe	KhoeRiver	L0a
NAM166	Khwe	||Xo	Khwe	KhoeRiver	L0k
NAM167	Khwe	||Xo	Khwe	KhoeRiver	L2a
NAM171	Khwe	||Xo	Khwe	KhoeRiver	L1b
NAM172	Khwe	||Xo	Khwe	KhoeRiver	L2b
NAM173	Khwe	||Xo	Khwe	KhoeRiver	L0a
NAM174	Khwe	||Xo	Khwe	KhoeRiver	L3e
NAM175	Khwe	||Xo	Khwe	KhoeRiver	L0d1
NAM176	Khwe	||Xo	Khwe	KhoeRiver	L0k
NAM177	Khwe	||Xo	Khwe	KhoeRiver	L3e
NAM179	Khwe	||Xo	Khwe	KhoeRiver	L0d1
NAM180	Khwe	||Xo	Khwe	KhoeRiver	L3e
NAM181	Khwe	||Xo	Khwe	KhoeRiver	L3e
NAM376	|Xokhoe	||Xo	Khwe	KhoeRiver	L2b
NAM378	|Xokhoe	||Xo	Khwe	KhoeRiver	L3e
NAM381	|Xomkhoe	||Xo	Khwe	KhoeRiver	L3e
NAM383	|Xokhoe	||Xo	Khwe	KhoeRiver	L0d1
BOT6_165	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L2b
BOT6_166	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0k
BOT6_167	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0a
BOT6_169	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0k
BOT6_170	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_171	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_173	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0k
BOT6_174	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L1b
BOT6_175	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L3e
BOT6_176	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0k
BOT6_187	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_188	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_191	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
NAM377	Bugakhoe	||Ani/Buga	Khwe	KhoeRiver	L0d1
BOT6_153	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_196	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_197	Shua	Shua	Shua_Tcire	KhoeEast	L3d
BOT6_198	Shua	Shua	Shua_Tcire	KhoeEast	L3e
BOT6_199	Shua	Shua	Shua_Tcire	KhoeEast	L3e
BOT6_200	Shua	Shua	Shua_Tcire	KhoeEast	L3d
BOT6_201	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_202	Shua	Shua	Shua_Tcire	KhoeEast	L3d
BOT6_204	Shua	Shua	Shua_Tcire	KhoeEast	L3f
BOT6_206	Shua	Shua	Shua_Tcire	KhoeEast	L1c
BOT6_207	Shua	Shua	Shua_Tcire	KhoeEast	L0k
BOT6_208	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_209	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_211	Shua	Shua	Shua_Tcire	KhoeEast	M
BOT6_212	Shua	Shua	Shua_Tcire	KhoeEast	L3e
BOT6_215	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_217	Shua	Shua	Shua_Tcire	KhoeEast	L2a
BOT6_218	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_219	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_220	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_222	Shua	Shua	Shua_Tcire	KhoeEast	L1c
BOT6_223	Shua	Shua	Shua_Tcire	KhoeEast	L3e
BOT6_232	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_233	Shua	Shua	Shua_Tcire	KhoeEast	L2a
BOT6_234	Shua	Shua	Shua_Tcire	KhoeEast	L3e
BOT6_235	Shua	Shua	Shua_Tcire	KhoeEast	L3e
BOT6_237	Shua	Shua	Shua_Tcire	KhoeEast	L3e
BOT6_239	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_240	Shua	Shua	Shua_Tcire	KhoeEast	L3d
BOT6_242	Shua	Shua	Shua_Tcire	KhoeEast	L3f
BOT6_244	Shua	Shua	Shua_Tcire	KhoeEast	L2a
BOT6_245	Shua	Shua	Shua_Tcire	KhoeEast	L2a
BOT6_246	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_248	Shua	Shua	Shua_Tcire	KhoeEast	L3f
BOT6_250	Danisi	Shua	Shua_Tcire	KhoeEast	L2a
BOT6_251	Danisi	Shua	Shua_Tcire	KhoeEast	L2a
BOT6_252	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_254	Shua	Shua	Shua_Tcire	KhoeEast	L2a
BOT6_255	Danisi	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_284	Shua	Shua	Shua_Tcire	KhoeEast	L5
BOT6_286	Shua	Shua	Shua_Tcire	KhoeEast	L0d1
BOT6_287	Shua	Shua	Shua_Tcire	KhoeEast	L5
BOT6_274	KwaDam	Tshwa	Tshwa	KhoeEast	L2a
BOT6_275	KwaDam	Tshwa	Tshwa	KhoeEast	L0d1
BOT6_276	KwaDam	Tshwa	Tshwa	KhoeEast	L0d1
BOT6_277	KwaDam	Tshwa	Tshwa	KhoeEast	L0d1
BOT6_278	KwaDam	Tshwa	Tshwa	KhoeEast	L0d1
BOT6_279	KwaDam	Tshwa	Tshwa	KhoeEast	L0d1
BOT6_280	KwaDam	Tshwa	Tshwa	KhoeEast	L0d1
BOT6_281	KwaDam	Tshwa	Tshwa	KhoeEast	L0d1
BOT6_282	KwaDam	Tshwa	Tshwa	KhoeEast	L0a
BOT6_288	KwaDam	Tshwa	Tshwa	KhoeEast	L3b
BOT6_290	KwaDam	Tshwa	Tshwa	KhoeEast	L0d1
BOT6_292	KwaDam	Tshwa	Tshwa	KhoeEast	L3d
BOT6_298	KwaDam	Tshwa	Tshwa	KhoeEast	L0d1
BOT6_300	Tchwaa-Dam	Tshwa	Tshwa	KhoeEast	L5
BOT6_301	Tchwaa-Dam	Tshwa	Tshwa	KhoeEast	L0a
BOT6_303	Tchwaa-Dam	Tshwa	Tshwa	KhoeEast	L5
BOT6_305	Tchwaa-Dam	Tshwa	Tshwa	KhoeEast	L2a
BOT6_306	Tchwaa-Dam	Tshwa	Tshwa	KhoeEast	L5
BOT6_307	Tchwaa-Dam	Tshwa	Tshwa	KhoeEast	L5
BOT6_308	Tchwaa-Dam	Tshwa	Tshwa	KhoeEast	L0d2
BOT6_309	Tchwaa-Dam	Tshwa	Tshwa	KhoeEast	L0d1
BOT6_312	Tchwaa-Dam	Tshwa	Tshwa	KhoeEast	L0d1
BOT5_001	G||ana	G||ana	G||ana_Naro	KhoeKalahari	L0d1
