"Name","glottocode","iso_code","latitude","longitude","BasicWordOrder","AdpositionOrder"
"Gitksan","gitx1241","git",55.3333333333,-127.75,"No dominant order","Prepositions"
"Golin","goli1247","gvf",-6.33333333333,144.75,"SOV","Postpositions"
"Gumawana","guma1254","gvs",-9.25,150.833333333,"SOV","Postpositions"
"Gunbalang","kunb1251","wlg",-12,134,"SVO","Prepositions"
"Gunin","kwin1241","gww",-14.25,126.666666667,"No dominant order","Postpositions"
"Goajiro","wayu1243","guc",12,-72,"VSO","Prepositions"
"Goemai","goem1240","ank",8.66666666667,9.75,"SVO","Prepositions"
"Gokana","goka1239","gkn",4.58333333333,7.33333333333,"SVO","Prepositions"
"Gondi","sout2711","ggo",19,81,"SOV","Postpositions"
"Gooniyandi","goon1238","gni",-18.3333333333,126.333333333,"No dominant order","Inpositions"
"Grebo","barc1235","grj",5,-8,"SVO","Postpositions"
"Garífuna","gari1256","cab",15.6666666667,-88,"VSO","Prepositions"
"Guarijío","huar1255","var",27.75,-108.666666667,"No dominant order","Postpositions"
"Greek (Modern)","mode1248","ell",39,22,"No dominant order","Prepositions"
"Greenlandic (West)","kala1399","kal",64,-51,"SOV","Postpositions"
"Guaraní","para1311","gug",-26,-56,"SVO","Postpositions"
"Gude","gude1246","gde",10.4166666667,13.4166666667,"VSO","Prepositions"
"Gujarati","guja1252","guj",23,72,"SOV","Postpositions"
"Gula (in Central African Republic)","gula1269","glu",9.5,22.5,"SVO","No dominant order"
"Gurung","guru1261","gvr",28.3333333333,84.3333333333,"SOV","Postpositions"
"Gungbe","gunn1250","guw",6.5,2.5,"SVO","No dominant order"
"Gwari","gbag1258","gbr",9.5,7,"No dominant order","No dominant order"
"Gworok","tyap1238","kcg",9.91666666667,8.16666666667,"SVO","Prepositions"
"Halia","hali1244","hla",-5.25,154.666666667,"SVO","Prepositions"
"Hamtai","hamt1247","hmt",-7.5,146.25,"SOV","Postpositions"
"Hatam","hata1243","had",-1,134,"SVO","Prepositions"
"Hausa","haus1257","hau",12,7,"SVO","Prepositions"
"Hawaiian","hawa1245","haw",19.5833333333,-155.5,"VSO","Prepositions"
"Hayu","wayu1241","vay",27.25,86,"SOV","Postpositions"
"Hdi","hdii1240","xed",11.8666666667,13.7166666667,"VSO","Prepositions"
"Hebrew (Modern)","hebr1245","heb",31.5,34.8333333333,"SVO","Prepositions"
"Hehe","hehe1240","heh",-8,36,"SVO","Prepositions"
"Heiltsuk","heil1246","hei",52,-127.5,"VSO","Prepositions"
"Hemba","hemb1242","hem",-6.25,27.1666666667,"SVO","Prepositions"
"Hanga Hundi","hang1263","wos",-3.83333333333,142.916666667,"SOV","Postpositions"
"Hidatsa","hida1246","hid",47,-102.5,"SOV","Postpositions"
"Hiligaynon","hili1240","hil",10.25,123,"VSO","Prepositions"
"Hindi","hind1269","hin",25,77,"SOV","Postpositions"
"Hixkaryana","hixk1239","hix",-1,-59,"OVS","Postpositions"
"Hualapai","hava1248","yuf",35.5,-113.75,"SOV","Postpositions"
"Halkomelem (Upriver)","halk1245","hur",49.25,-121.916666667,"VSO","Prepositions"
"Hmong Njua","huam1250","hnj",28,105,"SVO","Prepositions"
"Mina","mina1276","hna",10.3333333333,13.8333333333,"SVO","Prepositions"
"Hoava","hoav1238","hoa",-8.08333333333,157.5,"VSO","Prepositions"
"Hopi","hopi1249","hop",36,-110,"SOV","Postpositions"
"Hup","hupd1244","jup",0.166666666667,-69.25,"SOV","Postpositions"
"Hua","yaga1260","ygr",-6.33333333333,145.333333333,"SOV","Postpositions"
"=|Hoan","huaa1248","huc",-25.5,25,"SVO","No dominant order"
"Huitoto (Murui)","muru1274","huu",-1,-73.5,"SOV","Postpositions"
"Hungarian","hung1274","hun",47,20,"No dominant order","Postpositions"
